title,date,year,venue,type,cited_by_count,co-authors
"Structure-free, site-resolved contrastive learning extends small-molecule discovery beyond the reach of structure-based modeling",2026-07-30,2026,bioRxiv (Cold Spring Harbor Laboratory),preprint,0,William E. Fondrie; Daniele Canzani; Lillian Tatka; J. Sebastian Paez; Anastasiya Prymolenna; Andrea Gutierrez; Julia Robbins; Brian McEllin; Evan Hubbard; Kyle Siebenthall; Lindsay K. Pino; Alexander Federation
MSstatsBioNet: Integrating Statistical Analyses with Prior Knowledge Biomolecular Networks for Quantitative Proteomics and Phosphoproteomics,2026-07-16,2026,bioRxiv (Cold Spring Harbor Laboratory),preprint,0,Anthony Wu; Devon Kohler; Pruthvi Prakash Navada; Julia Robbins; Gabriel Boyle; Alex Boshart; Klas Karis; Jacques Neefjes; Ana Konvalinka; Jay F. Sarthy; Lindsay K. Pino; Benjamin M. Gyori; Olga Vitek
CpG island density predicts CBP/p300 dependency across 3D chromatin clusters,2026-05-07,2026,bioRxiv (Cold Spring Harbor Laboratory),preprint,1,Md Imdadul H. Khan; Matthew S. Chang; Yaw Asante; Maya K. Al-Haddad; Teagan Kukhta; Bhavatharini Udhayakumar; Ana María Garzón Porras; Elena-Loredana Rotariu; Saanvi Aneja; Jordyn L. Kelly; Carrietta B. Farma-Hai; Kavi Ullal; Diana Chin; Alexander J. Federation; Lindsay K. Pino; Julia Robbins; Marco Wachtel; Shaun R. Stauffer; Berkley E. Gryder
Carafe2 enables high quality <i>in silico</i> spectral library generation for timsTOF data-independent acquisition proteomics,2026-03-31,2026,bioRxiv (Cold Spring Harbor Laboratory),preprint,2,Bo Wen; J. Sebastian Paez; Chris Hsu; Daniele Canzani; Alexis Taylor Chang; Nicholas Shulman; Brendan MacLean; Matthew D. Berg; Judit Villén; William E. Fondrie; Lindsay K. Pino; Michael J. MacCoss; William Stafford Noble
Perspectives in computational mass spectrometry: recent developments and key challenges,2025-12-17,2025,Bioinformatics Advances,article,4,Timo Sachsenberg; Lindsay K. Pino; Marie A. Brunet; Isabell Bludau; Oliver Kohlbacher; Juan Antonio Vizcaíno; Wout Bittremieux
"Native, Spatiotemporal Profiling of the Global Human Regulome",2025-06-15,2025,bioRxiv (Cold Spring Harbor Laboratory),preprint,0,Lindsay K. Pino; Daniele Canzani; Andrea Gutiérrez; Julia Robbins; Brian McEllin; Evan Hubbard; Erin Broderick; Anastasiya V. Prymolenna; Lillian Tatka; Sebastian Juan Paez; Gaëlle Mercenne; Kyle Siebenthall; William E. Fondrie; Alexander Federation
Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes,2025-06-11,2025,Cell,article,13,Michael Gilbert; Karl M. Glastad; Maxxum Fioriti; Matan Sorek; Tierney Scarpa; Freddy S Purnell; Daniel C. Xu; Lindsay K. Pino; A. Korotkov; Ali Biashad; Josue Baeza; Richard Lauman; Anastasiia Filippova; Balint Z Kacsoh; Roberto Bonasio; Mackenzie Weygandt Mathis; Benjamin A. Garcia; Andrei Seluanov; Vera Gorbunova; Shelley L. Berger
Covalent Labeling Automated Data Analysis Platform for High Throughput in R (coADAPTr): A Proteome-Wide Data Analysis Platform for Covalent Labeling Experiments,2024-10-02,2024,Journal of the American Society for Mass Spectrometry,article,1,Raquel L. Shortt; Lindsay K. Pino; Emily E. Chea; Carolina Rojas Ramírez; Daniel A. Polasky; Alexey I. Nesvizhskii; Lisa M. Jones
The future role of mass spectrometry in proteomics: Embracing new technologies and building bridges for higher impact,2024-04-11,2024,Journal of Mass Spectrometry,article,1,Lindsay K. Pino
nf-encyclopedia: A Cloud-Ready Pipeline for Chromatogram Library Data-Independent Acquisition Proteomics Workflows,2023-07-07,2023,Journal of Proteome Research,article,6,Carolyn Allen; Rico Meinl; Sebastian Juan Paez; Brian C. Searle; Seth Just; Lindsay K. Pino; William E. Fondrie
